 Ученик	Школа	География	Информатика
Расторгуев Сергей	2	62	73
Наездников Михаил	2	44	46
Орлов Марина	4	63	40
Ипатов Игорь	1	46	50
Гарный Никита	6	61	42
Муслимов Ильгиз	5	48	73
Хазютина Дарья	5	63	72
Франтиков Иван	7	68	97
Васильев Сергей	2	63	68
Боровец Юлия	7	26	50
Корниенко Максим	5	40	60
Никитенко Родион	3	52	99
Куркин Антон	4	62	58
Полонский Иван	7	68	50
Творогов Федор	3	64	71
Боткин Денис	3	29	62
Федорова Елена	2	63	63
Полевой Николай	2	44	55
Ар Александр	4	76	81
Литинецкая Евгения	1	43	50
Долженков Иван	7	39	38
Максимов Александр	4	73	78
Мальков Александр	4	52	41
Абрамов Юрий	1	20	8
Шведов Дмитрий	3	85	91
Каштанов Михаил	2	65	88
Лебедев Александр	4	55	76
Гиренков Никита	6	58	67
Бондаренко Михаил	2	89	57
Кузнецов Вадим	5	60	82
Полковников Вадим	5	58	46
Хлопцев Василий	2	66	71
Галкина Юлия	6	78	55
Бондаренко Андрей	1	47	87
Бондаренко Юлия	6	58	91
Власова Анастасия	4	60	72
Болдырев Сергей	2	55	92
Кирилин Евгений	1	66	67
Пономарев Сергей	2	66	74
Левин Павел	5	72	55
Кирюшин Николай	2	60	70
Хомов Дмитрий	3	46	58
Бренок Станислав	3	55	75
Веденеев Евгений	1	70	84
Климов Тимофей	2	46	67
Сорокин Владислав	1	57	65
Корчагина Анастасия	4	46	40
Липский Максим	5	65	29
Богородский Борис	5	42	90
Лаврентьев Евгений	1	67	71
Козлов Сергей	2	77	39
Плешанова Елена	2	61	43
Жилкина Вероника	2	49	89
Тюфякин Андрей	1	48	50
Марков Александр	4	69	34
Гордин Дмитрий	3	100	69
Коробов Максим	5	66	73
Буркин Виталий	2	63	50
Мухортов Никита	6	73	60
Тахтасьев Евгений	1	63	63
Афанасьев Сергей	2	47	46
Шалимова Полина	2	65	100
Савин Тимур	6	83	86
Головин Андрей	1	49	89
Белкин Владимир	2	53	100
Кутахов Сергей	2	66	92
Попов Дмитрий	3	61	42
Кирилец Мария	5	40	90
Филатов Владимир	2	55	87
Квасов Дмитрий	3	59	99
Воронова Екатерина	7	67	51
Снегирёв Антон	4	52	23
Сидоров Юрий	1	64	94
Сылгачева Елена	2	63	61
Сизов Родион	3	57	69
Елиферов Евгений	1	52	74
Жучкин Илья	4	68	26
Диванов Алексей	1	65	66
Степанова Елена	2	64	91
Николаев Виктор	2	54	52
Тюхриков Александр	4	68	53
Байков Роман	5	60	25
Черных Константин	4	63	70
Смирнов Герман	2	76	63
Карловская Юлия	2	54	57
Исаев Григорий	2	50	68
Артомонова Ирина	7	68	67
Данильченко Андрей	1	34	63
Петрич Андрей	1	39	78
Фельшина Александра	3	66	90
Замкова Надежда	6	58	83
Малашкин Алексей	1	53	77
Резчиков Антон	4	61	62
Сигизмундова Анна	4	58	71
Аверьянова Анастасия	4	62	88
Горбунов Михаил	2	95	70
Мальцев Дмитрий	3	87	51
Серебряков Алексей	1	93	55
Шульпанов Дмитрий	3	53	83
Левкин Андрей	1	36	47
Данилов Константин	4	72	70
Петров Артур	7	71	81
Воробьева Нина	3	75	84
Плесский Андрей	1	44	61
Вьюшин Виктор	2	82	33
Овсеенко Денис	3	45	38
Зарубина Вера	6	81	35
Ванюшкин Артем	7	65	55
Ахмедов Ильяс	2	73	85
Мельникова Елена	2	62	91
Фалеев Сергей	2	50	14
Головастов Андрей	1	74	64
Комаров Петр	7	53	82
Исаенков Максим	5	57	78
Ачкасова Ольга	2	67	59
Ферко Никита	6	62	80
Богатырев Александр	4	31	67
Сидорова Светлана	3	42	100
Амброськин Сергей	2	55	62
Якушева Александра	3	43	97
Огурцов Михаил	2	68	62
Головин Олег	3	70	56
Медведева Алина	2	75	59
